Time,GDP,GDPDEF,COE,HOANBS,FEDFUNDS,PCEC,GPDI
31-Dec-1977,2168.7,36.036,1221,72.257,6.56,1327.9,422.3
31-Mar-1978,2208.7,36.573,1255.8,72.598,6.79,1357.8,434.8
30-Jun-1978,2336.6,37.242,1302.9,74.714,7.6,1415.3,470.6
30-Sep-1978,2398.9,37.865,1339.2,75.338,8.45,1446.2,492.4
31-Dec-1978,2482.2,38.661,1383,76.251,10.03,1485.4,515.8
31-Mar-1979,2531.6,39.352,1427.3,76.795,10.09,1521,525.8
30-Jun-1979,2595.9,40.304,1458.3,77.108,10.29,1561.5,539.3
30-Sep-1979,2670.4,41.165,1498.8,77.756,11.43,1616,545.6
31-Dec-1979,2730.7,41.986,1539.7,77.909,13.78,1659.5,547.9
31-Mar-1980,2796.5,42.859,1579.2,77.722,17.19,1706.5,554.6
30-Jun-1980,2799.9,43.8,1600.5,76.367,9.47,1708.9,519.3
30-Sep-1980,2860,44.808,1631.2,76.016,10.87,1767.7,495.1
31-Dec-1980,2993.5,46.046,1694,76.955,18.9,1835.4,551.5
31-Mar-1981,3131.8,47.196,1745.2,77.38,14.7,1890.7,619.4
30-Jun-1981,3167.3,48.081,1777.5,77.407,19.1,1921.9,609.8
30-Sep-1981,3261.2,48.946,1815.4,77.381,15.87,1961.2,652.3
31-Dec-1981,3283.5,49.863,1843,77.083,12.37,1976.1,643.4
31-Mar-1982,3273.8,50.561,1866.4,75.842,14.68,2014.4,588.3
30-Jun-1982,3331.3,51.17,1885.1,76.137,14.15,2041.1,593.6
30-Sep-1982,3367.1,51.907,1905.3,75.598,10.31,2089.2,593
31-Dec-1982,3407.8,52.483,1920.4,74.914,8.95,2150.9,549.2
31-Mar-1983,3480.3,52.907,1949.9,75.353,8.77,2190.6,565.5
30-Jun-1983,3583.8,53.265,1988.6,76.196,8.98,2254.5,613.8
30-Sep-1983,3692.3,53.823,2031.2,77.695,9.45,2324.3,652.3
31-Dec-1983,3796.1,54.219,2085.9,79.148,9.47,2376.7,718.5
31-Mar-1984,3912.8,54.796,2147.1,80.669,9.91,2422.8,790.9
30-Jun-1984,4015,55.257,2196.8,81.738,11.06,2481.2,818.9
30-Sep-1984,4087.4,55.705,2242.6,82.113,11.3,2519.7,838.9
31-Dec-1984,4147.6,56.079,2283.1,82.654,8.38,2568.9,831.7
31-Mar-1985,4237,56.724,2327,83.331,8.58,2643.9,809.9
30-Jun-1985,4302.3,57.075,2365,83.871,7.53,2691.2,827
30-Sep-1985,4394.6,57.406,2406.7,84.1,7.92,2764.7,822.2
31-Dec-1985,4453.1,57.738,2457.1,84.497,8.27,2790.9,859.5
31-Mar-1986,4516.3,58.02,2493.3,84.378,7.48,2834.7,863.5
30-Jun-1986,4555.2,58.252,2519.1,84.179,6.92,2863,855.2
30-Sep-1986,4619.6,58.487,2557.1,84.606,5.89,2929.7,835.8
31-Dec-1986,4669.4,58.813,2605.9,85.247,6.91,2966.1,842.1
31-Mar-1987,4736.2,59.24,2651,86.268,6.13,2998.3,871.2
30-Jun-1987,4821.5,59.637,2694.2,86.761,6.73,3068.8,874.6
30-Sep-1987,4900.5,60.07,2741.8,87.368,7.22,3133.5,876.5
31-Dec-1987,5022.7,60.567,2810.3,88.269,6.77,3167.6,946.5
31-Mar-1988,5090.6,61.043,2861,88.347,6.58,3249,908.6
30-Jun-1988,5207.7,61.633,2926.1,89.61,7.51,3309,934.5
30-Sep-1988,5299.5,62.359,2978,89.857,8.19,3378.3,942
31-Dec-1988,5412.7,62.859,3035.1,90.854,8.76,3451.3,962.8
31-Mar-1989,5527.4,63.55,3084,91.747,9.85,3506.1,1005.4
30-Jun-1989,5628.4,64.207,3117.5,92.114,9.53,3569.5,1001
30-Sep-1989,5711.6,64.672,3157.6,92.322,9.02,3625.6,996.5
31-Dec-1989,5763.4,65.122,3211.2,92.335,8.45,3670.1,995.9
31-Mar-1990,5890.8,65.841,3278.8,92.553,8.28,3754.5,1010.8
30-Jun-1990,5974.7,66.52,3334.8,92.041,8.29,3800.2,1014.8
30-Sep-1990,6029.5,67.114,3373.9,91.462,8.2,3863.4,1000.7
31-Dec-1990,6023.3,67.622,3383.2,90.993,7.31,3884.4,947.6
31-Mar-1991,6054.9,68.296,3395.1,90.039,6.12,3890.2,924.6
30-Jun-1991,6143.6,68.764,3430.2,89.494,5.9,3943.7,926.6
30-Sep-1991,6218.4,69.269,3469.2,89.392,5.45,3989.6,947.5
31-Dec-1991,6279.3,69.643,3513.5,89.28,4.43,4017.1,978.8
31-Mar-1992,6380.8,69.942,3597.6,88.82,3.98,4117.7,956.8
30-Jun-1992,6492.3,70.388,3654.4,89.2,3.76,4173.4,1013.1
30-Sep-1992,6586.5,70.723,3690.7,89.385,3.22,4245.4,1024.2
31-Dec-1992,6697.6,71.201,3741.9,89.986,2.92,4326.2,1058
31-Mar-1993,6748.2,71.606,3747.9,90.769,3.07,4368.5,1083.9
30-Jun-1993,6829.6,72.041,3803.3,91.823,3.04,4437.5,1094.5
30-Sep-1993,6904.2,72.475,3838,92.294,3.09,4506,1095.9
31-Dec-1993,7032.8,72.853,3893.5,93.078,2.96,4572,1153
31-Mar-1994,7136.3,73.206,3917.2,93.5,3.34,4640.9,1202.1
30-Jun-1994,7269.8,73.571,3997.2,95.077,4.25,4702.9,1265.1
30-Sep-1994,7352.3,73.969,4035.1,96.239,4.73,4773.1,1251.6
31-Dec-1994,7476.7,74.376,4091,96.78,5.45,4847.2,1307.2
31-Mar-1995,7545.3,74.803,4141.3,97.464,5.98,4883.3,1327.3
30-Jun-1995,7604.9,75.132,4177.6,97.453,6,4955,1303.8
30-Sep-1995,7706.5,75.489,4223.7,98.549,5.8,5020.5,1303.2
31-Dec-1995,7799.5,75.861,4268,98.623,5.6,5077.9,1335.6
31-Mar-1996,7893.1,76.272,4321.4,98.481,5.31,5153.8,1355.2
30-Jun-1996,8061.5,76.562,4393.5,99.269,5.27,5244.1,1418.6
30-Sep-1996,8159,76.778,4455.7,100.055,5.3,5298.3,1474.4
31-Dec-1996,8287.1,77.168,4517.9,101.292,5.29,5376.1,1480
31-Mar-1997,8402.1,77.647,4599.5,102.393,5.39,5456.7,1522
30-Jun-1997,8551.9,77.857,4665.8,103.004,5.56,5495.1,1589.9
30-Sep-1997,8691.8,78.135,4745.4,103.635,5.54,5603.5,1625.3
31-Dec-1997,8788.3,78.395,4848.1,104.101,5.5,5687.6,1645.3
31-Mar-1998,8889.7,78.523,4950.4,104.641,5.49,5745.9,1712.3
30-Jun-1998,8994.7,78.687,5035.9,105.139,5.56,5857.8,1694.8
30-Sep-1998,9146.5,78.981,5120.9,105.316,5.51,5952.8,1739.8
31-Dec-1998,9325.7,79.228,5204.2,106.76,4.68,6055.5,1794.4
31-Mar-1999,9447.1,79.624,5298.8,106.8,4.81,6129,1850.6
30-Jun-1999,9557,79.891,5352.5,107.555,4.76,6253,1845.8
30-Sep-1999,9712.3,80.18,5429.7,108.269,5.22,6357.2,1890.9
31-Dec-1999,9926.1,80.547,5560.2,108.622,5.3,6488.9,1949.4
31-Mar-2000,10031,81.163,5759.9,109.055,5.85,6642.7,1945.9
30-Jun-2000,10278.3,81.623,5800.8,109.165,6.53,6737.3,2071.8
30-Sep-2000,10357.4,82.152,5914,109.157,6.52,6845.1,2055.8
31-Dec-2000,10472.3,82.593,5951.7,108.702,6.4,6944.4,2061.6
31-Mar-2001,10508.1,83.112,6059.4,108.519,5.31,7020.4,1967.5
30-Jun-2001,10638.4,83.699,6050.2,107.416,3.97,7072.1,1967
30-Sep-2001,10639.5,83.973,6033.7,106.26,3.07,7103.4,1937.3
31-Dec-2001,10701.3,84.227,6042.9,105.055,1.82,7216.6,1842.7
31-Mar-2002,10834.4,84.497,6074.8,104.116,1.73,7251.4,1910
30-Jun-2002,10934.8,84.812,6137.7,104.403,1.75,7344.5,1925.6
30-Sep-2002,11037.1,85.19,6161.4,104.076,1.75,7433.1,1927.9
31-Dec-2002,11103.8,85.651,6193.7,104.18,1.24,7507.2,1936.5
31-Mar-2003,11230.1,86.179,6226.6,103.639,1.25,7593.5,1960.2
30-Jun-2003,11370.7,86.455,6318.7,103.356,1.22,7684.6,1970.5
30-Sep-2003,11625.1,86.934,6403.8,103.496,1.01,7845.5,2048.3
31-Dec-2003,11816.8,87.346,6508.7,104.033,0.98,7938.5,2132.8
31-Mar-2004,11988.4,88.108,6565.7,104.489,1,8076.8,2155.2
30-Jun-2004,12181.4,88.875,6690.3,104.547,1.03,8186.3,2259.5
30-Sep-2004,12367.7,89.422,6823.3,105.22,1.61,8312.7,2311.3
31-Dec-2004,12562.2,90.049,6878.9,105.796,2.16,8464.3,2380.8
31-Mar-2005,12813.7,90.883,6952.6,105.984,2.63,8573.1,2475.2
30-Jun-2005,12974.1,91.543,7027.4,106.663,3.04,8723.9,2469.5
30-Sep-2005,13205.4,92.399,7142.2,106.885,3.62,8888.1,2527.2
31-Dec-2005,13381.6,93.1,7225,107.578,4.16,8991.3,2636.5
31-Mar-2006,13648.9,93.832,7406.9,108.557,4.59,9134.3,2699.7
30-Jun-2006,13799.8,94.587,7453,108.853,4.99,9253.7,2697
30-Sep-2006,13908.5,95.247,7508.5,109.469,5.25,9374.3,2684.4
31-Dec-2006,14066.4,95.58,7641,109.823,5.24,9453.6,2641.6
31-Mar-2007,14233.2,96.654,7832.1,109.837,5.26,9591.9,2634.2
30-Jun-2007,14422.3,97.194,7866.8,110.24,5.25,9700.9,2671.9
30-Sep-2007,14569.7,97.531,7902.1,109.908,4.94,9799.2,2658.2
31-Dec-2007,14685.3,97.956,7992,109.652,4.24,9910,2610.6
31-Mar-2008,14668.4,98.516,8077.9,109.344,2.61,9974.4,2527
30-Jun-2008,14813,98.995,8077.3,108.833,2,10095.8,2493.3
30-Sep-2008,14843,99.673,8094.9,107.669,1.81,10124.9,2435.9
31-Dec-2008,14549.9,99.815,8062.8,104.997,0.16,9859.6,2243.1
31-Mar-2009,14383.9,100.062,7762.4,102.25,0.18,9770.2,1972.1
30-Jun-2009,14340.4,99.895,7790.5,100.027,0.21,9769.8,1825.9
30-Sep-2009,14384.1,99.873,7774,98.824,0.15,9890.8,1786.4
31-Dec-2009,14566.5,100.169,7821,98.902,0.12,9957.1,1928
31-Mar-2010,14681.1,100.522,7801.7,98.94,0.16,10044.5,1989.5
30-Jun-2010,14888.6,100.968,7947.1,99.721,0.18,10137.7,2092.7
30-Sep-2010,15057.7,101.429,8019.1,100.229,0.19,10233.4,2164.6
31-Dec-2010,15230.2,101.949,8077.9,100.766,0.18,10393.2,2156.5
31-Mar-2011,15238.4,102.399,8209.7,100.994,0.14,10523.5,2123.5
30-Jun-2011,15460.9,103.145,8248.9,101.775,0.09,10651.4,2212.7
30-Sep-2011,15587.1,103.768,8332,102.263,0.08,10754.5,2228.2
31-Dec-2011,15785.3,103.917,8285.4,102.939,0.07,10827.9,2395.2
31-Mar-2012,15973.9,104.466,8504,103.758,0.13,10956.2,2460.8
30-Jun-2012,16121.9,104.943,8550,103.866,0.16,11008.3,2534.8
30-Sep-2012,16227.9,105.508,8587.6,104.358,0.14,11073.6,2529.9
31-Dec-2012,16297.3,105.935,8798,104.931,0.16,11164.3,2521.3
31-Mar-2013,16475.4,106.349,8705.1,105.341,0.14,11256.7,2617.6
30-Jun-2013,16541.4,106.57,8823.7,105.691,0.09,11284.5,2658.1
30-Sep-2013,16749.3,107.084,8880.6,106.227,0.08,11379.1,2750.8
31-Dec-2013,16999.9,107.636,8960.4,106.605,0.09,11524.4,2798.6
31-Mar-2014,17025.2,108.117,9108.3,107.128,0.08,11636.1,2774
30-Jun-2014,17285.6,108.709,9173.8,107.917,0.1,11800.6,2861.6
30-Sep-2014,17569.4,109.165,9299.6,108.53,0.09,11941,2939.8
31-Dec-2014,17692.2,109.3,9432.1,109.699,0.12,12075.8,2970.4
31-Mar-2015,17783.6,109.31,9502.3,110.06,0.11,12098.9,3044.6
30-Jun-2015,17998.3,109.919,9637.6,110.574,0.13,12240.2,3049.9
30-Sep-2015,18141.9,110.253,9740,110.525,0.14,12356.9,3072.1
31-Dec-2015,18222.8,110.504,9892.4,111.421,0.24,12438.8,3059.9
31-Mar-2016,18281.6,110.63,9892.6,111.797,0.36,12498,3036.8
30-Jun-2016,18450.1,111.258,10046.5,112.272,0.38,12692.7,2987.5
30-Sep-2016,18675.3,111.648,10176,112.443,0.4,12832.2,3017.2
31-Dec-2016,18860.8,112.234,10268.9,112.699,0.54,12980.4,3106.5
